Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49358915,Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding,Daniel E. Lieberman,"Lieberman, Daniel E.",,"=""1524746983""","=""9781524746988""",3,4.18,Pantheon,Hardcover,464,2021,2021,2024/12/10,2024/02/19,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0143039954""","=""9780143039952""",4,3.82,Penguin Classics ,Paperback,541,2006,-700,2024/12/04,2024/11/24,,,read,,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,4.31,Ecco,Paperback,408,2012,2011,,2024/12/03,to-read,to-read (#33),to-read,,,,0,0
12914,The Aeneid,Virgil,"Virgil, Virgil",Robert Fitzgerald,"=""0679729526""","=""9780679729525""",0,3.87,Vintage,Paperback,442,1990,-19,,2024/11/29,to-read,to-read (#32),to-read,,,,0,0
22463,The Origin of Species,Charles Darwin,"Darwin, Charles",,"=""""","=""""",0,4.01,Castle,Hardcover,703,2004,1859,,2024/11/23,to-read,to-read (#31),to-read,,,,0,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0743477111""","=""9780743477116""",4,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,2024/11/23,2024/11/23,,,read,,,,1,0
12938,King Lear,William Shakespeare,"Shakespeare, William",William James Rolfe,"=""""","=""""",3,3.91,Simon & Schuster,Mass Market Paperback,339,2004,1605,2024/11/22,2024/11/22,,,read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg","=""0521618746""","=""9780521618748""",5,4.03,Cambridge University Press,Paperback,289,2005,1601,2024/11/22,2024/11/19,,,read,,,,1,0
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James",Seamus Deane,"=""0142437344""","=""9780142437346""",3,3.64,Penguin Classics,Paperback,329,2003,1916,2024/11/19,2024/01/01,,,read,,,,1,0
199372835,Invisible Rulers: The People Who Turn Lies into Reality,Renee DiResta,"DiResta, Renee",,"=""1541703391""","=""9781541703391""",0,4.07,PublicAffairs,Kindle Edition,425,2024,,,2024/11/15,to-read,to-read (#30),to-read,,,,0,0
122826101,"Wrong: How Media, Politics, and Identity Drive Our Appetite for Misinformation",Dannagal Goldthwaite Young,"Young, Dannagal Goldthwaite",,"=""1421447754""","=""9781421447759""",0,3.94,Johns Hopkins University Press,Hardcover,312,2023,,,2024/11/15,to-read,to-read (#29),to-read,,,,0,0
62711639,The Gutenberg Parenthesis: The Age of Print and Its Lessons for the Age of the Internet,Jeff Jarvis,"Jarvis, Jeff",,"=""1501394827""","=""9781501394829""",0,3.89,Bloomsbury Academic,Hardcover,328,2023,,,2024/11/15,to-read,to-read (#28),to-read,,,,0,0
